2023-12-24 10:00:01.4116–TRACE–2023/12/24 10:00:01:4115| 0|  COM5| S | CommandID    162| FA52010401
2023-12-24 10:00:01.6711–TRACE–2023/12/24 10:00:01:6749| 0|  COM5| S | CommandID    171| FA52010403
2023-12-24 10:00:01.6993–TRACE–2023/12/24 10:00:01:6992| 0|  COM5| R | CommandID    171| FA01054355550D0A
2023-12-24 10:00:01.6993–TRACE–2023/12/24 10:00:01:7111| 0|  COM5| S | CommandID    172| FA52020403
2023-12-24 10:00:01.7297–TRACE–2023/12/24 10:00:01:7297| 0|  COM5| R | CommandID    172| FA02054359550D0A
2023-12-24 10:00:01.7297–TRACE–2023/12/24 10:00:01:7340| 0|  COM5| S | CommandID    173| FA52030403
2023-12-24 10:00:01.7583–TRACE–2023/12/24 10:00:01:7583| 0|  COM5| R | CommandID    173| FA03054155550D0A
2023-12-24 10:00:01.7583–TRACE–2023/12/24 10:00:01:7630| 0|  COM5| S | CommandID    174| FA52010404
2023-12-24 10:00:01.7924–TRACE–2023/12/24 10:00:01:7924| 0|  COM5| R | CommandID    174| FA01034B0D0A
2023-12-24 10:00:01.7924–TRACE–2023/12/24 10:00:01:7967| 0|  COM5| S | CommandID    175| FA52020404
2023-12-24 10:00:01.8245–TRACE–2023/12/24 10:00:01:8245| 0|  COM5| R | CommandID    175| FA02034B0D0A
2023-12-24 10:00:01.8245–TRACE–2023/12/24 10:00:01:8347| 0|  COM5| S | CommandID    176| FA52030404
2023-12-24 10:00:01.8537–TRACE–2023/12/24 10:00:01:8537| 0|  COM5| R | CommandID    176| FA03034B0D0A
2023-12-24 10:00:01.8537–TRACE–2023/12/24 10:00:01:8577| 0|  COM5| S | CommandID    177| FA52010405
2023-12-24 10:00:01.8846–TRACE–2023/12/24 10:00:01:8846| 0|  COM5| R | CommandID    177| FA0104481D0D0A
2023-12-24 10:00:01.8846–TRACE–2023/12/24 10:00:01:8884| 0|  COM5| S | CommandID    178| FA52020405
2023-12-24 10:00:01.9169–TRACE–2023/12/24 10:00:01:9168| 0|  COM5| R | CommandID    178| FA0204311E0D0A
2023-12-24 10:00:01.9169–TRACE–2023/12/24 10:00:01:9207| 0|  COM5| S | CommandID    179| FA52030405
2023-12-24 10:00:01.9519–TRACE–2023/12/24 10:00:01:9519| 0|  COM5| R | CommandID    179| FA03043F310D0A
2023-12-24 10:00:01.9519–TRACE–2023/12/24 10:00:01:9559| 0|  COM5| S | CommandID    180| FA52010501
2023-12-24 10:00:01.9784–TRACE–2023/12/24 10:00:01:9784| 0|  COM5| R | CommandID    180| FA010401140D0A
2023-12-24 10:00:01.9784–TRACE–2023/12/24 10:00:01:9835| 0|  COM5| S | CommandID    181| FA52030501
2023-12-24 10:00:02.0093–TRACE–2023/12/24 10:00:02:0092| 0|  COM5| R | CommandID    181| FA030401600D0A
2023-12-24 10:00:02.0093–TRACE–2023/12/24 10:00:02:0131| 0|  COM5| S | CommandID    182| FA52020501
2023-12-24 10:00:02.0407–TRACE–2023/12/24 10:00:02:0406| 0|  COM5| R | CommandID    182| FA020401300D0A
2023-12-24 10:00:02.0407–TRACE–2023/12/24 10:00:02:0447| 0|  COM5| S | CommandID    183| FA52010601
2023-12-24 10:00:02.0769–TRACE–2023/12/24 10:00:02:0769| 0|  COM5| R | CommandID    183| FA010701010020320D0A
2023-12-24 10:00:02.0769–TRACE–2023/12/24 10:00:02:0807| 0|  COM5| S | CommandID    184| FA52020601
2023-12-24 10:00:02.1027–TRACE–2023/12/24 10:00:02:1027| 0|  COM5| R | CommandID    184| FA020701010020320D0A
2023-12-24 10:00:04.4774–TRACE–2023/12/24 10:00:04:4773| 0|  COM5| S | CommandID    185| FA52010401
2023-12-24 10:00:04.4934–TRACE–2023/12/24 10:00:04:4934| 0|  COM5| R | CommandID    185| FA010A0101020304050607080D0A
2023-12-24 10:00:04.4934–TRACE–2023/12/24 10:00:04:4987| 0|  COM5| S | CommandID    186| FA52020401
2023-12-24 10:00:04.5281–TRACE–2023/12/24 10:00:04:5281| 0|  COM5| R | CommandID    186| FA020A0101020304050607080D0A
2023-12-24 10:00:04.5281–TRACE–2023/12/24 10:00:04:5325| 0|  COM5| S | CommandID    187| FA52030401
2023-12-24 10:00:04.5609–TRACE–2023/12/24 10:00:04:5609| 0|  COM5| R | CommandID    187| FA030A0101020304050607080D0A
2023-12-24 10:00:04.5609–TRACE–2023/12/24 10:00:04:5646| 0|  COM5| S | CommandID    188| FA52010101
2023-12-24 10:00:04.5887–TRACE–2023/12/24 10:00:04:5887| 0|  COM5| R | CommandID    188| FA0103640D0A
2023-12-24 10:00:04.5887–TRACE–2023/12/24 10:00:04:5926| 0|  COM5| S | CommandID    189| FA52020101
2023-12-24 10:00:04.6198–TRACE–2023/12/24 10:00:04:6198| 0|  COM5| R | CommandID    189| FA0203640D0A
2023-12-24 10:00:04.6198–TRACE–2023/12/24 10:00:04:6236| 0|  COM5| S | CommandID    190| FA52030101
2023-12-24 10:00:04.6505–TRACE–2023/12/24 10:00:04:6505| 0|  COM5| R | CommandID    190| FA0303640D0A
2023-12-24 10:00:04.6505–TRACE–2023/12/24 10:00:04:6543| 0|  COM5| S | CommandID    191| FA52010402
2023-12-24 10:00:04.6815–TRACE–2023/12/24 10:00:04:6815| 0|  COM5| R | CommandID    191| FA010400890D0A
2023-12-24 10:00:04.6815–TRACE–2023/12/24 10:00:04:6856| 0|  COM5| S | CommandID    192| FA52020402
2023-12-24 10:00:04.7157–TRACE–2023/12/24 10:00:04:7156| 0|  COM5| R | CommandID    192| FA020400890D0A
2023-12-24 10:00:04.7157–TRACE–2023/12/24 10:00:04:7195| 0|  COM5| S | CommandID    193| FA52030402
2023-12-24 10:00:04.7531–TRACE–2023/12/24 10:00:04:7531| 0|  COM5| R | CommandID    193| FA030400890D0A
2023-12-24 10:00:04.7531–TRACE–2023/12/24 10:00:04:7573| 0|  COM5| S | CommandID    194| FA52010403
2023-12-24 10:00:04.7837–TRACE–2023/12/24 10:00:04:7837| 0|  COM5| R | CommandID    194| FA01054355550D0A
2023-12-24 10:00:04.7837–TRACE–2023/12/24 10:00:04:7876| 0|  COM5| S | CommandID    195| FA52020403
2023-12-24 10:00:04.8134–TRACE–2023/12/24 10:00:04:8133| 0|  COM5| R | CommandID    195| FA02054359550D0A
2023-12-24 10:00:04.8134–TRACE–2023/12/24 10:00:04:8175| 0|  COM5| S | CommandID    196| FA52030403
2023-12-24 10:00:04.8433–TRACE–2023/12/24 10:00:04:8433| 0|  COM5| R | CommandID    196| FA03054357550D0A
2023-12-24 10:00:04.8433–TRACE–2023/12/24 10:00:04:8474| 0|  COM5| S | CommandID    197| FA52010404
2023-12-24 10:00:04.8715–TRACE–2023/12/24 10:00:04:8715| 0|  COM5| R | CommandID    197| FA01034B0D0A
2023-12-24 10:00:04.8715–TRACE–2023/12/24 10:00:04:8760| 0|  COM5| S | CommandID    198| FA52020404
2023-12-24 10:00:04.9027–TRACE–2023/12/24 10:00:04:9027| 0|  COM5| R | CommandID    198| FA02034B0D0A
2023-12-24 10:00:04.9027–TRACE–2023/12/24 10:00:04:9067| 0|  COM5| S | CommandID    199| FA52030404
2023-12-24 10:00:04.9358–TRACE–2023/12/24 10:00:04:9358| 0|  COM5| R | CommandID    199| FA03034B0D0A
2023-12-24 10:00:04.9478–TRACE–2023/12/24 10:00:04:9478| 0|  COM5| S | CommandID    200| FA52010405
2023-12-24 10:00:04.9627–TRACE–2023/12/24 10:00:04:9627| 0|  COM5| R | CommandID    200| FA01042D2B0D0A
2023-12-24 10:00:04.9627–TRACE–2023/12/24 10:00:04:9682| 0|  COM5| S | CommandID    201| FA52020405
2023-12-24 10:00:04.9937–TRACE–2023/12/24 10:00:04:9937| 0|  COM5| R | CommandID    201| FA0204190A0D0A
2023-12-24 10:00:04.9937–TRACE–2023/12/24 10:00:04:9980| 0|  COM5| S | CommandID    202| FA52030405
2023-12-24 10:00:05.0264–TRACE–2023/12/24 10:00:05:0264| 0|  COM5| R | CommandID    202| FA03044B480D0A
2023-12-24 10:00:05.0264–TRACE–2023/12/24 10:00:05:0373| 0|  COM5| S | CommandID    203| FA52010501
2023-12-24 10:00:05.0566–TRACE–2023/12/24 10:00:05:0566| 0|  COM5| R | CommandID    203| FA0104050C0D0A
2023-12-24 10:00:05.0566–TRACE–2023/12/24 10:00:05:0610| 0|  COM5| S | CommandID    204| FA52030501
2023-12-24 10:00:05.0913–TRACE–2023/12/24 10:00:05:0913| 0|  COM5| R | CommandID    204| FA030401080D0A
2023-12-24 10:00:05.0913–TRACE–2023/12/24 10:00:05:0956| 0|  COM5| S | CommandID    205| FA52020501
2023-12-24 10:00:05.1219–TRACE–2023/12/24 10:00:05:1219| 0|  COM5| R | CommandID    205| FA020401300D0A
2023-12-24 10:00:05.1219–TRACE–2023/12/24 10:00:05:1265| 0|  COM5| S | CommandID    206| FA52010601
2023-12-24 10:00:05.1502–TRACE–2023/12/24 10:00:05:1502| 0|  COM5| R | CommandID    206| FA010701010020320D0A
2023-12-24 10:00:05.1502–TRACE–2023/12/24 10:00:05:1546| 0|  COM5| S | CommandID    207| FA52020601
2023-12-24 10:00:05.1808–TRACE–2023/12/24 10:00:05:1808| 0|  COM5| R | CommandID    207| FA020701010020320D0A
2023-12-24 10:00:07.5433–TRACE–2023/12/24 10:00:07:5433| 0|  COM5| S | CommandID    208| FA52010401
2023-12-24 10:00:07.5724–TRACE–2023/12/24 10:00:07:5724| 0|  COM5| R | CommandID    208| FA010A0101020304050607080D0A
2023-12-24 10:00:07.5724–TRACE–2023/12/24 10:00:07:5850| 0|  COM5| S | CommandID    209| FA52020401
2023-12-24 10:00:07.6068–TRACE–2023/12/24 10:00:07:6068| 0|  COM5| R | CommandID    209| FA020A0101020304050607080D0A
2023-12-24 10:00:07.6068–TRACE–2023/12/24 10:00:07:6115| 0|  COM5| S | CommandID    210| FA52030401
2023-12-24 10:00:07.6347–TRACE–2023/12/24 10:00:07:6347| 0|  COM5| R | CommandID    210| FA030A0101020304050607080D0A
2023-12-24 10:00:07.6347–TRACE–2023/12/24 10:00:07:6394| 0|  COM5| S | CommandID    211| FA52010101
2023-12-24 10:00:07.6672–TRACE–2023/12/24 10:00:07:6671| 0|  COM5| R | CommandID    211| FA0103640D0A
2023-12-24 10:00:07.6672–TRACE–2023/12/24 10:00:07:6729| 0|  COM5| S | CommandID    212| FA52020101
2023-12-24 10:00:07.7050–TRACE–2023/12/24 10:00:07:7050| 0|  COM5| R | CommandID    212| FA0203640D0A
2023-12-24 10:00:07.7050–TRACE–2023/12/24 10:00:07:7096| 0|  COM5| S | CommandID    213| FA52030101
2023-12-24 10:00:07.7358–TRACE–2023/12/24 10:00:07:7358| 0|  COM5| R | CommandID    213| FA0303000D0A
2023-12-24 10:00:07.7358–TRACE–2023/12/24 10:00:07:7400| 0|  COM5| S | CommandID    214| FA52010402
2023-12-24 10:00:07.7671–TRACE–2023/12/24 10:00:07:7670| 0|  COM5| R | CommandID    214| FA010400850D0A
2023-12-24 10:00:07.7671–TRACE–2023/12/24 10:00:07:7717| 0|  COM5| S | CommandID    215| FA52020402
2023-12-24 10:00:07.7947–TRACE–2023/12/24 10:00:07:7947| 0|  COM5| R | CommandID    215| FA020400870D0A
2023-12-24 10:00:07.7947–TRACE–2023/12/24 10:00:07:7995| 0|  COM5| S | CommandID    216| FA52030402
2023-12-24 10:00:07.8276–TRACE–2023/12/24 10:00:07:8276| 0|  COM5| R | CommandID    216| FA030400850D0A
2023-12-24 10:00:07.8276–TRACE–2023/12/24 10:00:07:8319| 0|  COM5| S | CommandID    217| FA52010403
2023-12-24 10:00:07.8586–TRACE–2023/12/24 10:00:07:8585| 0|  COM5| R | CommandID    217| FA01054159550D0A
2023-12-24 10:00:07.8586–TRACE–2023/12/24 10:00:07:8632| 0|  COM5| S | CommandID    218| FA52020403
2023-12-24 10:00:07.8861–TRACE–2023/12/24 10:00:07:8861| 0|  COM5| R | CommandID    218| FA02055959550D0A
2023-12-24 10:00:07.8861–TRACE–2023/12/24 10:00:07:8903| 0|  COM5| S | CommandID    219| FA52030403
2023-12-24 10:00:07.9185–TRACE–2023/12/24 10:00:07:9184| 0|  COM5| R | CommandID    219| FA03054155550D0A
2023-12-24 10:00:07.9185–TRACE–2023/12/24 10:00:07:9232| 0|  COM5| S | CommandID    220| FA52010404
2023-12-24 10:00:07.9459–TRACE–2023/12/24 10:00:07:9459| 0|  COM5| R | CommandID    220| FA01034B0D0A
2023-12-24 10:00:07.9459–TRACE–2023/12/24 10:00:07:9504| 0|  COM5| S | CommandID    221| FA52020404
2023-12-24 10:00:07.9864–TRACE–2023/12/24 10:00:07:9864| 0|  COM5| R | CommandID    221| FA02034B0D0A
2023-12-24 10:00:07.9864–TRACE–2023/12/24 10:00:07:9907| 0|  COM5| S | CommandID    222| FA52030404
2023-12-24 10:00:08.0173–TRACE–2023/12/24 10:00:08:0173| 0|  COM5| R | CommandID    222| FA03034B0D0A
2023-12-24 10:00:08.0173–TRACE–2023/12/24 10:00:08:0215| 0|  COM5| S | CommandID    223| FA52010405
2023-12-24 10:00:08.0491–TRACE–2023/12/24 10:00:08:0490| 0|  COM5| R | CommandID    223| FA01042A4A0D0A
2023-12-24 10:00:08.0491–TRACE–2023/12/24 10:00:08:0535| 0|  COM5| S | CommandID    224| FA52020405
2023-12-24 10:00:08.0769–TRACE–2023/12/24 10:00:08:0769| 0|  COM5| R | CommandID    224| FA020414230D0A
2023-12-24 10:00:08.0769–TRACE–2023/12/24 10:00:08:0814| 0|  COM5| S | CommandID    225| FA52030405
2023-12-24 10:00:08.1049–TRACE–2023/12/24 10:00:08:1049| 0|  COM5| R | CommandID    225| FA03040E1D0D0A
2023-12-24 10:00:08.1049–TRACE–2023/12/24 10:00:08:1095| 0|  COM5| S | CommandID    226| FA52010501
2023-12-24 10:00:08.1388–TRACE–2023/12/24 10:00:08:1388| 0|  COM5| R | CommandID    226| FA010401280D0A
2023-12-24 10:00:08.1388–TRACE–2023/12/24 10:00:08:1435| 0|  COM5| S | CommandID    227| FA52030501
2023-12-24 10:00:08.1697–TRACE–2023/12/24 10:00:08:1697| 0|  COM5| R | CommandID    227| FA0304014C0D0A
2023-12-24 10:00:08.1697–TRACE–2023/12/24 10:00:08:1741| 0|  COM5| S | CommandID    228| FA52020501
2023-12-24 10:00:08.1992–TRACE–2023/12/24 10:00:08:1991| 0|  COM5| R | CommandID    228| FA020401000D0A
2023-12-24 10:00:08.1992–TRACE–2023/12/24 10:00:08:2044| 0|  COM5| S | CommandID    229| FA52010601
2023-12-24 10:00:08.2297–TRACE–2023/12/24 10:00:08:2297| 0|  COM5| R | CommandID    229| FA010701010020320D0A
2023-12-24 10:00:08.2297–TRACE–2023/12/24 10:00:08:2344| 0|  COM5| S | CommandID    230| FA52020601
2023-12-24 10:00:08.2663–TRACE–2023/12/24 10:00:08:2663| 0|  COM5| R | CommandID    230| FA020701010020320D0A
2023-12-24 10:00:10.6036–TRACE–2023/12/24 10:00:10:6036| 0|  COM5| S | CommandID    231| FA52010401
2023-12-24 10:00:10.6358–TRACE–2023/12/24 10:00:10:6357| 0|  COM5| R | CommandID    231| FA010A0101020304050607080D0A
2023-12-24 10:00:10.6358–TRACE–2023/12/24 10:00:10:6408| 0|  COM5| S | CommandID    232| FA52020401
2023-12-24 10:00:10.6680–TRACE–2023/12/24 10:00:10:6680| 0|  COM5| R | CommandID    232| FA020A0101020304050607080D0A
2023-12-24 10:00:10.6680–TRACE–2023/12/24 10:00:10:6800| 0|  COM5| S | CommandID    233| FA52030401
2023-12-24 10:00:10.7018–TRACE–2023/12/24 10:00:10:7018| 0|  COM5| R | CommandID    233| FA030A0101020304050607080D0A
2023-12-24 10:00:10.7018–TRACE–2023/12/24 10:00:10:7067| 0|  COM5| S | CommandID    234| FA52010101
2023-12-24 10:00:10.7312–TRACE–2023/12/24 10:00:10:7312| 0|  COM5| R | CommandID    234| FA0103640D0A
2023-12-24 10:00:10.7312–TRACE–2023/12/24 10:00:10:7366| 0|  COM5| S | CommandID    235| FA52020101
2023-12-24 10:00:10.7611–TRACE–2023/12/24 10:00:10:7611| 0|  COM5| R | CommandID    235| FA0203640D0A
2023-12-24 10:00:10.7751–TRACE–2023/12/24 10:00:10:7751| 0|  COM5| S | CommandID    236| FA52030101
2023-12-24 10:00:10.8101–TRACE–2023/12/24 10:00:10:8101| 0|  COM5| R | CommandID    236| FA0303640D0A
2023-12-24 10:00:10.8101–TRACE–2023/12/24 10:00:10:8147| 0|  COM5| S | CommandID    237| FA52010402
2023-12-24 10:00:10.8393–TRACE–2023/12/24 10:00:10:8393| 0|  COM5| R | CommandID    237| FA010400870D0A
2023-12-24 10:00:10.8393–TRACE–2023/12/24 10:00:10:8446| 0|  COM5| S | CommandID    238| FA52020402
2023-12-24 10:00:10.8745–TRACE–2023/12/24 10:00:10:8745| 0|  COM5| R | CommandID    238| FA020400850D0A
2023-12-24 10:00:10.8745–TRACE–2023/12/24 10:00:10:8793| 0|  COM5| S | CommandID    239| FA52030402
2023-12-24 10:00:10.9064–TRACE–2023/12/24 10:00:10:9064| 0|  COM5| R | CommandID    239| FA030400890D0A
2023-12-24 10:00:10.9064–TRACE–2023/12/24 10:00:10:9112| 0|  COM5| S | CommandID    240| FA52010403
2023-12-24 10:00:10.9389–TRACE–2023/12/24 10:00:10:9389| 0|  COM5| R | CommandID    240| FA01054359550D0A
2023-12-24 10:00:10.9389–TRACE–2023/12/24 10:00:10:9440| 0|  COM5| S | CommandID    241| FA52020403
2023-12-24 10:00:10.9713–TRACE–2023/12/24 10:00:10:9713| 0|  COM5| R | CommandID    241| FA02054357550D0A
2023-12-24 10:00:10.9713–TRACE–2023/12/24 10:00:10:9775| 0|  COM5| S | CommandID    242| FA52030403
2023-12-24 10:00:11.0010–TRACE–2023/12/24 10:00:11:0010| 0|  COM5| R | CommandID    242| FA03054357550D0A
2023-12-24 10:00:11.0010–TRACE–2023/12/24 10:00:11:0062| 0|  COM5| S | CommandID    243| FA52010404
2023-12-24 10:00:11.0336–TRACE–2023/12/24 10:00:11:0336| 0|  COM5| R | CommandID    243| FA01034B0D0A
2023-12-24 10:00:11.0336–TRACE–2023/12/24 10:00:11:0386| 0|  COM5| S | CommandID    244| FA52020404
2023-12-24 10:00:11.0623–TRACE–2023/12/24 10:00:11:0623| 0|  COM5| R | CommandID    244| FA02034B0D0A
2023-12-24 10:00:11.0623–TRACE–2023/12/24 10:00:11:0699| 0|  COM5| S | CommandID    245| FA52030404
2023-12-24 10:00:11.0973–TRACE–2023/12/24 10:00:11:0973| 0|  COM5| R | CommandID    245| FA03034B0D0A
2023-12-24 10:00:11.1023–TRACE–2023/12/24 10:00:11:1023| 0|  COM5| S | CommandID    246| FA52010405
2023-12-24 10:00:11.1194–TRACE–2023/12/24 10:00:11:1194| 0|  COM5| R | CommandID    246| FA0104442B0D0A
2023-12-24 10:00:11.1194–TRACE–2023/12/24 10:00:11:1242| 0|  COM5| S | CommandID    247| FA52020405
2023-12-24 10:00:11.1504–TRACE–2023/12/24 10:00:11:1503| 0|  COM5| R | CommandID    247| FA02041F0A0D0A
2023-12-24 10:00:11.1504–TRACE–2023/12/24 10:00:11:1510| 0|  COM5| S | CommandID    248| FA52030405
2023-12-24 10:00:11.1660–TRACE–2023/12/24 10:00:11:1660| 0|  COM5| R | CommandID    248| FA03041C280D0A
2023-12-24 10:00:11.1660–TRACE–2023/12/24 10:00:11:1679| 0|  COM5| S | CommandID    249| FA52010501
2023-12-24 10:00:11.1807–TRACE–2023/12/24 10:00:11:1807| 0|  COM5| R | CommandID    249| FA0104015C0D0A
2023-12-24 10:00:11.1807–TRACE–2023/12/24 10:00:11:1815| 0|  COM5| S | CommandID    250| FA52030501
2023-12-24 10:00:11.1964–TRACE–2023/12/24 10:00:11:1964| 0|  COM5| R | CommandID    250| FA030401280D0A
2023-12-24 10:00:11.1964–TRACE–2023/12/24 10:00:11:1973| 0|  COM5| S | CommandID    251| FA52020501
2023-12-24 10:00:11.2125–TRACE–2023/12/24 10:00:11:2125| 0|  COM5| R | CommandID    251| FA020401040D0A
2023-12-24 10:00:11.2125–TRACE–2023/12/24 10:00:11:2133| 0|  COM5| S | CommandID    252| FA52010601
2023-12-24 10:00:11.2282–TRACE–2023/12/24 10:00:11:2282| 0|  COM5| R | CommandID    252| FA010701010020320D0A
2023-12-24 10:00:11.2282–TRACE–2023/12/24 10:00:11:2294| 0|  COM5| S | CommandID    253| FA52020601
2023-12-24 10:00:11.2450–TRACE–2023/12/24 10:00:11:2450| 0|  COM5| R | CommandID    253| FA020701010020320D0A
2023-12-24 10:00:13.6535–TRACE–2023/12/24 10:00:13:6535| 0|  COM5| S | CommandID    254| FA52010401
2023-12-24 10:00:13.6837–TRACE–2023/12/24 10:00:13:6837| 0|  COM5| R | CommandID    254| FA010A0101020304050607080D0A
2023-12-24 10:00:13.6837–TRACE–2023/12/24 10:00:13:6848| 0|  COM5| S | CommandID    255| FA52020401
2023-12-24 10:00:13.7046–TRACE–2023/12/24 10:00:13:7046| 0|  COM5| R | CommandID    255| FA020A0101020304050607080D0A
2023-12-24 10:00:13.7046–TRACE–2023/12/24 10:00:13:7057| 0|  COM5| S | CommandID    256| FA52030401
2023-12-24 10:00:13.7274–TRACE–2023/12/24 10:00:13:7274| 0|  COM5| R | CommandID    256| FA030A0101020304050607080D0A
2023-12-24 10:00:13.7274–TRACE–2023/12/24 10:00:13:7283| 0|  COM5| S | CommandID    257| FA52010101
2023-12-24 10:00:13.7436–TRACE–2023/12/24 10:00:13:7436| 0|  COM5| R | CommandID    257| FA0103640D0A
2023-12-24 10:00:13.7436–TRACE–2023/12/24 10:00:13:7450| 0|  COM5| S | CommandID    258| FA52020101
2023-12-24 10:00:13.7587–TRACE–2023/12/24 10:00:13:7587| 0|  COM5| R | CommandID    258| FA0203640D0A
2023-12-24 10:00:13.7587–TRACE–2023/12/24 10:00:13:7596| 0|  COM5| S | CommandID    259| FA52030101
2023-12-24 10:00:13.7746–TRACE–2023/12/24 10:00:13:7746| 0|  COM5| R | CommandID    259| FA0303640D0A
2023-12-24 10:00:13.7746–TRACE–2023/12/24 10:00:13:7756| 0|  COM5| S | CommandID    260| FA52010402
2023-12-24 10:00:13.7916–TRACE–2023/12/24 10:00:13:7916| 0|  COM5| R | CommandID    260| FA010400870D0A
2023-12-24 10:00:13.7916–TRACE–2023/12/24 10:00:13:7926| 0|  COM5| S | CommandID    261| FA52020402
2023-12-24 10:00:13.8054–TRACE–2023/12/24 10:00:13:8054| 0|  COM5| R | CommandID    261| FA020400870D0A
2023-12-24 10:00:13.8054–TRACE–2023/12/24 10:00:13:8063| 0|  COM5| S | CommandID    262| FA52030402
2023-12-24 10:00:13.8239–TRACE–2023/12/24 10:00:13:8239| 0|  COM5| R | CommandID    262| FA030400890D0A
2023-12-24 10:00:13.8239–TRACE–2023/12/24 10:00:13:8249| 0|  COM5| S | CommandID    263| FA52010403
2023-12-24 10:00:13.8554–TRACE–2023/12/24 10:00:13:8554| 0|  COM5| R | CommandID    263| FA01054357550D0A
2023-12-24 10:00:13.8554–TRACE–2023/12/24 10:00:13:8563| 0|  COM5| S | CommandID    264| FA52020403
2023-12-24 10:00:13.8697–TRACE–2023/12/24 10:00:13:8697| 0|  COM5| R | CommandID    264| FA02054157550D0A
2023-12-24 10:00:13.8697–TRACE–2023/12/24 10:00:13:8707| 0|  COM5| S | CommandID    265| FA52030403
2023-12-24 10:00:13.8859–TRACE–2023/12/24 10:00:13:8858| 0|  COM5| R | CommandID    265| FA03054159550D0A
2023-12-24 10:00:13.8859–TRACE–2023/12/24 10:00:13:8868| 0|  COM5| S | CommandID    266| FA52010404
2023-12-24 10:00:13.9005–TRACE–2023/12/24 10:00:13:9005| 0|  COM5| R | CommandID    266| FA01034B0D0A
2023-12-24 10:00:13.9005–TRACE–2023/12/24 10:00:13:9017| 0|  COM5| S | CommandID    267| FA52020404
2023-12-24 10:00:13.9160–TRACE–2023/12/24 10:00:13:9159| 0|  COM5| R | CommandID    267| FA02034B0D0A
2023-12-24 10:00:13.9160–TRACE–2023/12/24 10:00:13:9170| 0|  COM5| S | CommandID    268| FA52030404
2023-12-24 10:00:13.9319–TRACE–2023/12/24 10:00:13:9319| 0|  COM5| R | CommandID    268| FA03034B0D0A
2023-12-24 10:00:13.9319–TRACE–2023/12/24 10:00:13:9337| 0|  COM5| S | CommandID    269| FA52010405
2023-12-24 10:00:13.9460–TRACE–2023/12/24 10:00:13:9459| 0|  COM5| R | CommandID    269| FA010419100D0A
2023-12-24 10:00:13.9460–TRACE–2023/12/24 10:00:13:9469| 0|  COM5| S | CommandID    270| FA52020405
2023-12-24 10:00:13.9634–TRACE–2023/12/24 10:00:13:9634| 0|  COM5| R | CommandID    270| FA02043D180D0A
2023-12-24 10:00:13.9634–TRACE–2023/12/24 10:00:13:9678| 0|  COM5| S | CommandID    271| FA52030405
2023-12-24 10:00:13.9960–TRACE–2023/12/24 10:00:13:9960| 0|  COM5| R | CommandID    271| FA030411370D0A
2023-12-24 10:00:13.9960–TRACE–2023/12/24 10:00:13:9970| 0|  COM5| S | CommandID    272| FA52010501
2023-12-24 10:00:14.0106–TRACE–2023/12/24 10:00:14:0106| 0|  COM5| R | CommandID    272| FA010401400D0A
2023-12-24 10:00:14.0106–TRACE–2023/12/24 10:00:14:0116| 0|  COM5| S | CommandID    273| FA52030501
