2023-11-29 17:00:00.0026–TRACE–2023/11/29 17:00:00:0025| 0| COM84| S | CommandID  19877| FA52010405
2023-11-29 17:00:02.4275–TRACE–2023/11/29 17:00:02:4275| 0| COM84| R | CommandID  19889| FA010A0101020304050607080D0A
2023-11-29 17:00:02.4275–TRACE–2023/11/29 17:00:02:4350| 0| COM84| S | CommandID  19890| FA52020401
2023-11-29 17:00:02.4726–TRACE–2023/11/29 17:00:02:4725| 0| COM84| R | CommandID  19890| FA020A0101020304050607080D0A
2023-11-29 17:00:02.4726–TRACE–2023/11/29 17:00:02:4834| 0| COM84| S | CommandID  19891| FA52030401
2023-11-29 17:00:02.5131–TRACE–2023/11/29 17:00:02:5130| 0| COM84| R | CommandID  19891| FA030A0101020304050607080D0A
2023-11-29 17:00:02.5438–TRACE–2023/11/29 17:00:02:5438| 0| COM84| S | CommandID  19892| FA52010101
2023-11-29 17:00:02.5912–TRACE–2023/11/29 17:00:02:5912| 0| COM84| R | CommandID  19892| FA0103640D0A
2023-11-29 17:00:02.6184–TRACE–2023/11/29 17:00:02:6184| 0| COM84| S | CommandID  19893| FA52020101
2023-11-29 17:00:02.6504–TRACE–2023/11/29 17:00:02:6503| 0| COM84| R | CommandID  19893| FA0203640D0A
2023-11-29 17:00:02.6504–TRACE–2023/11/29 17:00:02:6582| 0| COM84| S | CommandID  19894| FA52030101
2023-11-29 17:00:02.6996–TRACE–2023/11/29 17:00:02:6996| 0| COM84| R | CommandID  19894| FA0303640D0A
2023-11-29 17:00:02.7065–TRACE–2023/11/29 17:00:02:7065| 0| COM84| S | CommandID  19895| FA52010402
2023-11-29 17:00:02.7342–TRACE–2023/11/29 17:00:02:7342| 0| COM84| R | CommandID  19895| FA010400890D0A
2023-11-29 17:00:02.7619–TRACE–2023/11/29 17:00:02:7618| 0| COM84| S | CommandID  19896| FA52020402
2023-11-29 17:00:02.7840–TRACE–2023/11/29 17:00:02:7839| 0| COM84| R | CommandID  19896| FA020400850D0A
2023-11-29 17:00:02.8052–TRACE–2023/11/29 17:00:02:8052| 0| COM84| S | CommandID  19897| FA52030402
2023-11-29 17:00:02.8348–TRACE–2023/11/29 17:00:02:8348| 0| COM84| R | CommandID  19897| FA030400850D0A
2023-11-29 17:00:02.8348–TRACE–2023/11/29 17:00:02:8429| 0| COM84| S | CommandID  19898| FA52010403
2023-11-29 17:00:02.8817–TRACE–2023/11/29 17:00:02:8817| 0| COM84| R | CommandID  19898| FA01054359550D0A
2023-11-29 17:00:02.8817–TRACE–2023/11/29 17:00:02:8902| 0| COM84| S | CommandID  19899| FA52020403
2023-11-29 17:00:02.9261–TRACE–2023/11/29 17:00:02:9260| 0| COM84| R | CommandID  19899| FA02054557550D0A
2023-11-29 17:00:02.9261–TRACE–2023/11/29 17:00:02:9365| 0| COM84| S | CommandID  19900| FA52030403
2023-11-29 17:00:02.9597–TRACE–2023/11/29 17:00:02:9596| 0| COM84| R | CommandID  19900| FA03054159550D0A
2023-11-29 17:00:03.0064–TRACE–2023/11/29 17:00:03:0064| 0| COM84| S | CommandID  19901| FA52010404
2023-11-29 17:00:03.0428–TRACE–2023/11/29 17:00:03:0428| 0| COM84| R | CommandID  19901| FA01034B0D0A
2023-11-29 17:00:03.0655–TRACE–2023/11/29 17:00:03:0654| 0| COM84| S | CommandID  19902| FA52020404
2023-11-29 17:00:03.1287–TRACE–2023/11/29 17:00:03:1287| 0| COM84| R | CommandID  19902| FA02034B0D0A
2023-11-29 17:00:03.1287–TRACE–2023/11/29 17:00:03:1395| 0| COM84| S | CommandID  19903| FA52030404
2023-11-29 17:00:03.1827–TRACE–2023/11/29 17:00:03:1826| 0| COM84| R | CommandID  19903| FA03034B0D0A
2023-11-29 17:00:03.1992–TRACE–2023/11/29 17:00:03:1991| 0| COM84| S | CommandID  19904| FA52010405
2023-11-29 17:00:03.2248–TRACE–2023/11/29 17:00:03:2248| 0| COM84| R | CommandID  19904| FA01044D2C0D0A
2023-11-29 17:00:03.2578–TRACE–2023/11/29 17:00:03:2578| 0| COM84| S | CommandID  19905| FA52020405
2023-11-29 17:00:03.2931–TRACE–2023/11/29 17:00:03:2930| 0| COM84| R | CommandID  19905| FA020423480D0A
2023-11-29 17:00:03.3143–TRACE–2023/11/29 17:00:03:3143| 0| COM84| S | CommandID  19906| FA52030405
2023-11-29 17:00:03.3539–TRACE–2023/11/29 17:00:03:3539| 0| COM84| R | CommandID  19906| FA030446410D0A
2023-11-29 17:00:03.3649–TRACE–2023/11/29 17:00:03:3649| 0| COM84| S | CommandID  19907| FA52010501
2023-11-29 17:00:03.3997–TRACE–2023/11/29 17:00:03:3997| 0| COM84| R | CommandID  19907| FA010401380D0A
2023-11-29 17:00:03.3997–TRACE–2023/11/29 17:00:03:4075| 0| COM84| S | CommandID  19908| FA52030501
2023-11-29 17:00:03.4409–TRACE–2023/11/29 17:00:03:4408| 0| COM84| R | CommandID  19908| FA0304010C0D0A
2023-11-29 17:00:03.4409–TRACE–2023/11/29 17:00:03:4544| 0| COM84| S | CommandID  19909| FA52020501
2023-11-29 17:00:03.4944–TRACE–2023/11/29 17:00:03:4944| 0| COM84| R | CommandID  19909| FA020401500D0A
2023-11-29 17:00:05.1914–TRACE–2023/11/29 17:00:05:1914| 0| COM84| S | CommandID  19910| FA52010002
2023-11-29 17:00:05.2233–TRACE–2023/11/29 17:00:05:2233| 0| COM84| R | CommandID  19910| FA010403040D0A
2023-11-29 17:00:05.2233–TRACE–2023/11/29 17:00:05:2299| 0| COM84| S | CommandID  19911| FA52020002
2023-11-29 17:00:05.2620–TRACE–2023/11/29 17:00:05:2619| 0| COM84| R | CommandID  19911| FA020403040D0A
2023-11-29 17:00:05.2982–TRACE–2023/11/29 17:00:05:2982| 0| COM84| S | CommandID  19912| FA52030002
2023-11-29 17:00:05.3325–TRACE–2023/11/29 17:00:05:3325| 0| COM84| R | CommandID  19912| FA030403040D0A
2023-11-29 17:00:05.3577–TRACE–2023/11/29 17:00:05:3577| 0| COM84| S | CommandID  19913| FA52010001
2023-11-29 17:00:05.3987–TRACE–2023/11/29 17:00:05:3987| 0| COM84| R | CommandID  19913| FA010401020D0A
2023-11-29 17:00:05.4129–TRACE–2023/11/29 17:00:05:4129| 0| COM84| S | CommandID  19914| FA52020001
2023-11-29 17:00:05.4607–TRACE–2023/11/29 17:00:05:4606| 0| COM84| R | CommandID  19914| FA020401020D0A
2023-11-29 17:00:05.4735–TRACE–2023/11/29 17:00:05:4735| 0| COM84| S | CommandID  19915| FA52030001
2023-11-29 17:00:05.5163–TRACE–2023/11/29 17:00:05:5162| 0| COM84| R | CommandID  19915| FA030401020D0A
2023-11-29 17:00:05.5256–TRACE–2023/11/29 17:00:05:5255| 0| COM84| S | CommandID  19916| FA52010401
2023-11-29 17:00:05.5537–TRACE–2023/11/29 17:00:05:5536| 0| COM84| R | CommandID  19916| FA010A0101020304050607080D0A
2023-11-29 17:00:05.5817–TRACE–2023/11/29 17:00:05:5817| 0| COM84| S | CommandID  19917| FA52020401
2023-11-29 17:00:05.6162–TRACE–2023/11/29 17:00:05:6162| 0| COM84| R | CommandID  19917| FA020A0101020304050607080D0A
2023-11-29 17:00:05.6376–TRACE–2023/11/29 17:00:05:6376| 0| COM84| S | CommandID  19918| FA52030401
2023-11-29 17:00:05.6697–TRACE–2023/11/29 17:00:05:6697| 0| COM84| R | CommandID  19918| FA030A0101020304050607080D0A
2023-11-29 17:00:05.6837–TRACE–2023/11/29 17:00:05:6837| 0| COM84| S | CommandID  19919| FA52010101
2023-11-29 17:00:05.7335–TRACE–2023/11/29 17:00:05:7335| 0| COM84| R | CommandID  19919| FA0103640D0A
2023-11-29 17:00:05.7431–TRACE–2023/11/29 17:00:05:7431| 0| COM84| S | CommandID  19920| FA52020101
2023-11-29 17:00:05.7734–TRACE–2023/11/29 17:00:05:7733| 0| COM84| R | CommandID  19920| FA0203640D0A
2023-11-29 17:00:05.7734–TRACE–2023/11/29 17:00:05:7826| 0| COM84| S | CommandID  19921| FA52030101
2023-11-29 17:00:05.8083–TRACE–2023/11/29 17:00:05:8083| 0| COM84| R | CommandID  19921| FA0303640D0A
2023-11-29 17:00:05.8385–TRACE–2023/11/29 17:00:05:8385| 0| COM84| S | CommandID  19922| FA52010402
2023-11-29 17:00:05.8679–TRACE–2023/11/29 17:00:05:8679| 0| COM84| R | CommandID  19922| FA010400850D0A
2023-11-29 17:00:05.8869–TRACE–2023/11/29 17:00:05:8868| 0| COM84| S | CommandID  19923| FA52020402
2023-11-29 17:00:05.9168–TRACE–2023/11/29 17:00:05:9168| 0| COM84| R | CommandID  19923| FA020400850D0A
2023-11-29 17:00:05.9291–TRACE–2023/11/29 17:00:05:9291| 0| COM84| S | CommandID  19924| FA52030402
2023-11-29 17:00:05.9803–TRACE–2023/11/29 17:00:05:9802| 0| COM84| R | CommandID  19924| FA030400870D0A
2023-11-29 17:00:05.9874–TRACE–2023/11/29 17:00:05:9874| 0| COM84| S | CommandID  19925| FA52010403
2023-11-29 17:00:06.0280–TRACE–2023/11/29 17:00:06:0280| 0| COM84| R | CommandID  19925| FA01054159550D0A
2023-11-29 17:00:06.0396–TRACE–2023/11/29 17:00:06:0396| 0| COM84| S | CommandID  19926| FA52020403
2023-11-29 17:00:06.0700–TRACE–2023/11/29 17:00:06:0700| 0| COM84| R | CommandID  19926| FA02054555550D0A
2023-11-29 17:00:06.0700–TRACE–2023/11/29 17:00:06:0792| 0| COM84| S | CommandID  19927| FA52030403
2023-11-29 17:00:06.0984–TRACE–2023/11/29 17:00:06:0984| 0| COM84| R | CommandID  19927| FA03054359550D0A
2023-11-29 17:00:06.1230–TRACE–2023/11/29 17:00:06:1230| 0| COM84| S | CommandID  19928| FA52010404
2023-11-29 17:00:06.1493–TRACE–2023/11/29 17:00:06:1493| 0| COM84| R | CommandID  19928| FA01034B0D0A
2023-11-29 17:00:06.1724–TRACE–2023/11/29 17:00:06:1724| 0| COM84| S | CommandID  19929| FA52020404
2023-11-29 17:00:06.2095–TRACE–2023/11/29 17:00:06:2095| 0| COM84| R | CommandID  19929| FA02034B0D0A
2023-11-29 17:00:06.2095–TRACE–2023/11/29 17:00:06:2182| 0| COM84| S | CommandID  19930| FA52030404
2023-11-29 17:00:06.2550–TRACE–2023/11/29 17:00:06:2549| 0| COM84| R | CommandID  19930| FA03034B0D0A
2023-11-29 17:00:06.2550–TRACE–2023/11/29 17:00:06:2636| 0| COM84| S | CommandID  19931| FA52010405
2023-11-29 17:00:06.2934–TRACE–2023/11/29 17:00:06:2934| 0| COM84| R | CommandID  19931| FA0104471B0D0A
2023-11-29 17:00:06.3025–TRACE–2023/11/29 17:00:06:3024| 0| COM84| S | CommandID  19932| FA52020405
2023-11-29 17:00:06.3332–TRACE–2023/11/29 17:00:06:3332| 0| COM84| R | CommandID  19932| FA020433370D0A
2023-11-29 17:00:06.3581–TRACE–2023/11/29 17:00:06:3581| 0| COM84| S | CommandID  19933| FA52030405
2023-11-29 17:00:06.4110–TRACE–2023/11/29 17:00:06:4109| 0| COM84| R | CommandID  19933| FA0304104E0D0A
2023-11-29 17:00:06.4325–TRACE–2023/11/29 17:00:06:4325| 0| COM84| S | CommandID  19934| FA52010501
2023-11-29 17:00:06.4694–TRACE–2023/11/29 17:00:06:4694| 0| COM84| R | CommandID  19934| FA0104054C0D0A
2023-11-29 17:00:06.4845–TRACE–2023/11/29 17:00:06:4845| 0| COM84| S | CommandID  19935| FA52030501
2023-11-29 17:00:06.5245–TRACE–2023/11/29 17:00:06:5244| 0| COM84| R | CommandID  19935| FA0304012C0D0A
2023-11-29 17:00:06.5382–TRACE–2023/11/29 17:00:06:5382| 0| COM84| S | CommandID  19936| FA52020501
2023-11-29 17:00:06.5878–TRACE–2023/11/29 17:00:06:5878| 0| COM84| R | CommandID  19936| FA020401000D0A
2023-11-29 17:00:08.2863–TRACE–2023/11/29 17:00:08:2863| 0| COM84| S | CommandID  19937| FA52010002
2023-11-29 17:00:08.3195–TRACE–2023/11/29 17:00:08:3195| 0| COM84| R | CommandID  19937| FA010403040D0A
2023-11-29 17:00:08.3310–TRACE–2023/11/29 17:00:08:3309| 0| COM84| S | CommandID  19938| FA52020002
2023-11-29 17:00:08.3671–TRACE–2023/11/29 17:00:08:3671| 0| COM84| R | CommandID  19938| FA020403040D0A
2023-11-29 17:00:08.3798–TRACE–2023/11/29 17:00:08:3798| 0| COM84| S | CommandID  19939| FA52030002
2023-11-29 17:00:08.4114–TRACE–2023/11/29 17:00:08:4113| 0| COM84| R | CommandID  19939| FA030403040D0A
2023-11-29 17:00:08.4114–TRACE–2023/11/29 17:00:08:4179| 0| COM84| S | CommandID  19940| FA52010001
2023-11-29 17:00:08.4446–TRACE–2023/11/29 17:00:08:4446| 0| COM84| R | CommandID  19940| FA010401020D0A
2023-11-29 17:00:08.4665–TRACE–2023/11/29 17:00:08:4665| 0| COM84| S | CommandID  19941| FA52020001
2023-11-29 17:00:08.4934–TRACE–2023/11/29 17:00:08:4933| 0| COM84| R | CommandID  19941| FA020401020D0A
2023-11-29 17:00:08.5104–TRACE–2023/11/29 17:00:08:5103| 0| COM84| S | CommandID  19942| FA52030001
2023-11-29 17:00:08.5552–TRACE–2023/11/29 17:00:08:5552| 0| COM84| R | CommandID  19942| FA030401020D0A
2023-11-29 17:00:08.5734–TRACE–2023/11/29 17:00:08:5733| 0| COM84| S | CommandID  19943| FA52010401
2023-11-29 17:00:08.6041–TRACE–2023/11/29 17:00:08:6041| 0| COM84| R | CommandID  19943| FA010A0101020304050607080D0A
2023-11-29 17:00:08.6147–TRACE–2023/11/29 17:00:08:6146| 0| COM84| S | CommandID  19944| FA52020401
2023-11-29 17:00:08.6691–TRACE–2023/11/29 17:00:08:6691| 0| COM84| R | CommandID  19944| FA020A0101020304050607080D0A
2023-11-29 17:00:08.6767–TRACE–2023/11/29 17:00:08:6766| 0| COM84| S | CommandID  19945| FA52030401
2023-11-29 17:00:08.7063–TRACE–2023/11/29 17:00:08:7063| 0| COM84| R | CommandID  19945| FA030A0101020304050607080D0A
2023-11-29 17:00:08.7063–TRACE–2023/11/29 17:00:08:7144| 0| COM84| S | CommandID  19946| FA52010101
2023-11-29 17:00:08.7464–TRACE–2023/11/29 17:00:08:7463| 0| COM84| R | CommandID  19946| FA0103640D0A
2023-11-29 17:00:08.7542–TRACE–2023/11/29 17:00:08:7541| 0| COM84| S | CommandID  19947| FA52020101
2023-11-29 17:00:08.7868–TRACE–2023/11/29 17:00:08:7868| 0| COM84| R | CommandID  19947| FA0203640D0A
2023-11-29 17:00:08.8133–TRACE–2023/11/29 17:00:08:8133| 0| COM84| S | CommandID  19948| FA52030101
2023-11-29 17:00:08.8543–TRACE–2023/11/29 17:00:08:8543| 0| COM84| R | CommandID  19948| FA0303640D0A
2023-11-29 17:00:08.8731–TRACE–2023/11/29 17:00:08:8731| 0| COM84| S | CommandID  19949| FA52010402
2023-11-29 17:00:08.9101–TRACE–2023/11/29 17:00:08:9101| 0| COM84| R | CommandID  19949| FA010400870D0A
2023-11-29 17:00:08.9262–TRACE–2023/11/29 17:00:08:9262| 0| COM84| S | CommandID  19950| FA52020402
2023-11-29 17:00:08.9753–TRACE–2023/11/29 17:00:08:9753| 0| COM84| R | CommandID  19950| FA020400870D0A
2023-11-29 17:00:08.9987–TRACE–2023/11/29 17:00:08:9986| 0| COM84| S | CommandID  19951| FA52030402
2023-11-29 17:00:09.0596–TRACE–2023/11/29 17:00:09:0595| 0| COM84| R | CommandID  19951| FA030400890D0A
2023-11-29 17:00:09.0736–TRACE–2023/11/29 17:00:09:0736| 0| COM84| S | CommandID  19952| FA52010403
2023-11-29 17:00:09.1038–TRACE–2023/11/29 17:00:09:1038| 0| COM84| R | CommandID  19952| FA01054555550D0A
2023-11-29 17:00:09.1161–TRACE–2023/11/29 17:00:09:1161| 0| COM84| S | CommandID  19953| FA52020403
2023-11-29 17:00:09.1539–TRACE–2023/11/29 17:00:09:1539| 0| COM84| R | CommandID  19953| FA02054157550D0A
2023-11-29 17:00:09.1642–TRACE–2023/11/29 17:00:09:1642| 0| COM84| S | CommandID  19954| FA52030403
2023-11-29 17:00:09.1971–TRACE–2023/11/29 17:00:09:1971| 0| COM84| R | CommandID  19954| FA03054159550D0A
2023-11-29 17:00:09.2278–TRACE–2023/11/29 17:00:09:2278| 0| COM84| S | CommandID  19955| FA52010404
2023-11-29 17:00:09.2607–TRACE–2023/11/29 17:00:09:2607| 0| COM84| R | CommandID  19955| FA01034B0D0A
2023-11-29 17:00:09.2830–TRACE–2023/11/29 17:00:09:2830| 0| COM84| S | CommandID  19956| FA52020404
2023-11-29 17:00:09.3192–TRACE–2023/11/29 17:00:09:3192| 0| COM84| R | CommandID  19956| FA02034B0D0A
2023-11-29 17:00:09.3422–TRACE–2023/11/29 17:00:09:3422| 0| COM84| S | CommandID  19957| FA52030404
2023-11-29 17:00:09.3853–TRACE–2023/11/29 17:00:09:3852| 0| COM84| R | CommandID  19957| FA03034B0D0A
2023-11-29 17:00:09.3935–TRACE–2023/11/29 17:00:09:3935| 0| COM84| S | CommandID  19958| FA52010405
2023-11-29 17:00:09.4293–TRACE–2023/11/29 17:00:09:4293| 0| COM84| R | CommandID  19958| FA01044E4B0D0A
2023-11-29 17:00:09.4293–TRACE–2023/11/29 17:00:09:4374| 0| COM84| S | CommandID  19959| FA52020405
2023-11-29 17:00:09.4817–TRACE–2023/11/29 17:00:09:4816| 0| COM84| R | CommandID  19959| FA02043B350D0A
2023-11-29 17:00:09.4919–TRACE–2023/11/29 17:00:09:4919| 0| COM84| S | CommandID  19960| FA52030405
2023-11-29 17:00:09.5291–TRACE–2023/11/29 17:00:09:5291| 0| COM84| R | CommandID  19960| FA0304404E0D0A
2023-11-29 17:00:09.5370–TRACE–2023/11/29 17:00:09:5370| 0| COM84| S | CommandID  19961| FA52010501
2023-11-29 17:00:09.5660–TRACE–2023/11/29 17:00:09:5660| 0| COM84| R | CommandID  19961| FA0104011C0D0A
2023-11-29 17:00:09.5660–TRACE–2023/11/29 17:00:09:5749| 0| COM84| S | CommandID  19962| FA52030501
2023-11-29 17:00:09.6057–TRACE–2023/11/29 17:00:09:6057| 0| COM84| R | CommandID  19962| FA030401180D0A
2023-11-29 17:00:09.6322–TRACE–2023/11/29 17:00:09:6322| 0| COM84| S | CommandID  19963| FA52020501
2023-11-29 17:00:09.6648–TRACE–2023/11/29 17:00:09:6647| 0| COM84| R | CommandID  19963| FA020401240D0A
2023-11-29 17:00:11.3772–TRACE–2023/11/29 17:00:11:3771| 0| COM84| S | CommandID  19964| FA52010002
2023-11-29 17:00:11.3947–TRACE–2023/11/29 17:00:11:3946| 0| COM84| R | CommandID  19964| FA010403040D0A
2023-11-29 17:00:11.3947–TRACE–2023/11/29 17:00:11:4009| 0| COM84| S | CommandID  19965| FA52020002
2023-11-29 17:00:11.4246–TRACE–2023/11/29 17:00:11:4246| 0| COM84| R | CommandID  19965| FA020403040D0A
2023-11-29 17:00:11.4246–TRACE–2023/11/29 17:00:11:4261| 0| COM84| S | CommandID  19966| FA52030002
2023-11-29 17:00:11.4459–TRACE–2023/11/29 17:00:11:4459| 0| COM84| R | CommandID  19966| FA030403040D0A
2023-11-29 17:00:11.4459–TRACE–2023/11/29 17:00:11:4487| 0| COM84| S | CommandID  19967| FA52010001
2023-11-29 17:00:11.4794–TRACE–2023/11/29 17:00:11:4794| 0| COM84| R | CommandID  19967| FA010401020D0A
2023-11-29 17:00:11.4794–TRACE–2023/11/29 17:00:11:4826| 0| COM84| S | CommandID  19968| FA52020001
2023-11-29 17:00:11.5057–TRACE–2023/11/29 17:00:11:5057| 0| COM84| R | CommandID  19968| FA020401020D0A
2023-11-29 17:00:11.5057–TRACE–2023/11/29 17:00:11:5073| 0| COM84| S | CommandID  19969| FA52030001
2023-11-29 17:00:11.5445–TRACE–2023/11/29 17:00:11:5445| 0| COM84| R | CommandID  19969| FA030401020D0A
2023-11-29 17:00:11.5445–TRACE–2023/11/29 17:00:11:5478| 0| COM84| S | CommandID  19970| FA52010401
2023-11-29 17:00:11.5730–TRACE–2023/11/29 17:00:11:5730| 0| COM84| R | CommandID  19970| FA010A0101020304050607080D0A
2023-11-29 17:00:11.5835–TRACE–2023/11/29 17:00:11:5835| 0| COM84| S | CommandID  19971| FA52020401
2023-11-29 17:00:11.6210–TRACE–2023/11/29 17:00:11:6210| 0| COM84| R | CommandID  19971| FA020A0101020304050607080D0A
2023-11-29 17:00:11.6210–TRACE–2023/11/29 17:00:11:6240| 0| COM84| S | CommandID  19972| FA52030401
2023-11-29 17:00:11.6460–TRACE–2023/11/29 17:00:11:6460| 0| COM84| R | CommandID  19972| FA030A0101020304050607080D0A
2023-11-29 17:00:11.6581–TRACE–2023/11/29 17:00:11:6581| 0| COM84| S | CommandID  19973| FA52010101
2023-11-29 17:00:11.6998–TRACE–2023/11/29 17:00:11:6998| 0| COM84| R | CommandID  19973| FA0103640D0A
2023-11-29 17:00:11.7064–TRACE–2023/11/29 17:00:11:7064| 0| COM84| S | CommandID  19974| FA52020101
2023-11-29 17:00:11.7330–TRACE–2023/11/29 17:00:11:7330| 0| COM84| R | CommandID  19974| FA0203640D0A
2023-11-29 17:00:11.7330–TRACE–2023/11/29 17:00:11:7360| 0| COM84| S | CommandID  19975| FA52030101
2023-11-29 17:00:11.7623–TRACE–2023/11/29 17:00:11:7623| 0| COM84| R | CommandID  19975| FA0303640D0A
2023-11-29 17:00:11.7623–TRACE–2023/11/29 17:00:11:7676| 0| COM84| S | CommandID  19976| FA52010402
2023-11-29 17:00:11.8090–TRACE–2023/11/29 17:00:11:8090| 0| COM84| R | CommandID  19976| FA010400890D0A
2023-11-29 17:00:11.8159–TRACE–2023/11/29 17:00:11:8159| 0| COM84| S | CommandID  19977| FA52020402
2023-11-29 17:00:11.8360–TRACE–2023/11/29 17:00:11:8360| 0| COM84| R | CommandID  19977| FA020400890D0A
2023-11-29 17:00:11.8360–TRACE–2023/11/29 17:00:11:8402| 0| COM84| S | CommandID  19978| FA52030402
2023-11-29 17:00:11.8715–TRACE–2023/11/29 17:00:11:8715| 0| COM84| R | CommandID  19978| FA030400850D0A
2023-11-29 17:00:11.8793–TRACE–2023/11/29 17:00:11:8793| 0| COM84| S | CommandID  19979| FA52010403
2023-11-29 17:00:11.9138–TRACE–2023/11/29 17:00:11:9138| 0| COM84| R | CommandID  19979| FA01054159550D0A
2023-11-29 17:00:11.9321–TRACE–2023/11/29 17:00:11:9321| 0| COM84| S | CommandID  19980| FA52020403
2023-11-29 17:00:11.9591–TRACE–2023/11/29 17:00:11:9591| 0| COM84| R | CommandID  19980| FA02054359550D0A
2023-11-29 17:00:11.9591–TRACE–2023/11/29 17:00:11:9642| 0| COM84| S | CommandID  19981| FA52030403
2023-11-29 17:00:11.9926–TRACE–2023/11/29 17:00:11:9925| 0| COM84| R | CommandID  19981| FA03054155550D0A
2023-11-29 17:00:12.0091–TRACE–2023/11/29 17:00:12:0091| 0| COM84| S | CommandID  19982| FA52010404
2023-11-29 17:00:12.0380–TRACE–2023/11/29 17:00:12:0380| 0| COM84| R | CommandID  19982| FA01034B0D0A
2023-11-29 17:00:12.0380–TRACE–2023/11/29 17:00:12:0473| 0| COM84| S | CommandID  19983| FA52020404
2023-11-29 17:00:12.0736–TRACE–2023/11/29 17:00:12:0736| 0| COM84| R | CommandID  19983| FA02035F0D0A
2023-11-29 17:00:12.0736–TRACE–2023/11/29 17:00:12:0787| 0| COM84| S | CommandID  19984| FA52030404
2023-11-29 17:00:12.1055–TRACE–2023/11/29 17:00:12:1055| 0| COM84| R | CommandID  19984| FA03034B0D0A
2023-11-29 17:00:12.1055–TRACE–2023/11/29 17:00:12:1081| 0| COM84| S | CommandID  19985| FA52010405
2023-11-29 17:00:12.1340–TRACE–2023/11/29 17:00:12:1340| 0| COM84| R | CommandID  19985| FA01044E1D0D0A
2023-11-29 17:00:12.1340–TRACE–2023/11/29 17:00:12:1376| 0| COM84| S | CommandID  19986| FA52020405
2023-11-29 17:00:12.1602–TRACE–2023/11/29 17:00:12:1602| 0| COM84| R | CommandID  19986| FA02044C0C0D0A
2023-11-29 17:00:12.1774–TRACE–2023/11/29 17:00:12:1774| 0| COM84| S | CommandID  19987| FA52030405
2023-11-29 17:00:12.2050–TRACE–2023/11/29 17:00:12:2050| 0| COM84| R | CommandID  19987| FA030449300D0A
2023-11-29 17:00:12.2050–TRACE–2023/11/29 17:00:12:2102| 0| COM84| S | CommandID  19988| FA52010501
2023-11-29 17:00:12.2382–TRACE–2023/11/29 17:00:12:2382| 0| COM84| R | CommandID  19988| FA010401480D0A
