2023-12-01 11:00:00.0216–TRACE–2023/12/01 11:00:00:0216| 0| COM83| S | CommandID     57| FA52020501
2023-12-01 11:00:05.1278–TRACE–2023/12/01 11:00:05:1278| 0| COM83| R | CommandID     85| FA010401180D0A
2023-12-01 11:00:05.2016–TRACE–2023/12/01 11:00:05:2016| 0| COM83| S | CommandID     86| FA52030501
2023-12-01 11:00:05.2345–TRACE–2023/12/01 11:00:05:2344| 0| COM83| R | CommandID     86| FA030401280D0A
2023-12-01 11:00:05.3098–TRACE–2023/12/01 11:00:05:3098| 0| COM83| S | CommandID     87| FA52020501
2023-12-01 11:00:05.3421–TRACE–2023/12/01 11:00:05:3421| 0| COM83| R | CommandID     87| FA020401540D0A
2023-12-01 11:00:05.8120–TRACE–2023/12/01 11:00:05:8120| 0| COM83| S | CommandID     88| FA52010405
2023-12-01 11:00:05.8251–TRACE–2023/12/01 11:00:05:8250| 0| COM83| R | CommandID     88| FA010420460D0A
2023-12-01 11:00:05.9129–TRACE–2023/12/01 11:00:05:9129| 0| COM83| S | CommandID     89| FA52020405
2023-12-01 11:00:05.9376–TRACE–2023/12/01 11:00:05:9375| 0| COM83| R | CommandID     89| FA0204104E0D0A
2023-12-01 11:00:06.0137–TRACE–2023/12/01 11:00:06:0137| 0| COM83| S | CommandID     90| FA52030405
2023-12-01 11:00:06.0278–TRACE–2023/12/01 11:00:06:0278| 0| COM83| R | CommandID     90| FA030410140D0A
2023-12-01 11:00:06.1254–TRACE–2023/12/01 11:00:06:1254| 0| COM83| S | CommandID     91| FA52010501
2023-12-01 11:00:06.1546–TRACE–2023/12/01 11:00:06:1546| 0| COM83| R | CommandID     91| FA010401440D0A
2023-12-01 11:00:06.2351–TRACE–2023/12/01 11:00:06:2351| 0| COM83| S | CommandID     92| FA52030501
2023-12-01 11:00:06.2622–TRACE–2023/12/01 11:00:06:2622| 0| COM83| R | CommandID     92| FA0304013C0D0A
2023-12-01 11:00:06.3459–TRACE–2023/12/01 11:00:06:3459| 0| COM83| S | CommandID     93| FA52020501
2023-12-01 11:00:06.3735–TRACE–2023/12/01 11:00:06:3735| 0| COM83| R | CommandID     93| FA020401080D0A
2023-12-01 11:00:06.8582–TRACE–2023/12/01 11:00:06:8582| 0| COM83| S | CommandID     94| FA52010405
2023-12-01 11:00:06.8745–TRACE–2023/12/01 11:00:06:8745| 0| COM83| R | CommandID     94| FA010436350D0A
2023-12-01 11:00:06.9689–TRACE–2023/12/01 11:00:06:9689| 0| COM83| S | CommandID     95| FA52020405
2023-12-01 11:00:06.9994–TRACE–2023/12/01 11:00:06:9994| 0| COM83| R | CommandID     95| FA020420290D0A
2023-12-01 11:00:07.0806–TRACE–2023/12/01 11:00:07:0806| 0| COM83| S | CommandID     96| FA52030405
2023-12-01 11:00:07.1075–TRACE–2023/12/01 11:00:07:1075| 0| COM83| R | CommandID     96| FA03044A440D0A
2023-12-01 11:00:07.1964–TRACE–2023/12/01 11:00:07:1963| 0| COM83| S | CommandID     97| FA52010501
2023-12-01 11:00:07.2224–TRACE–2023/12/01 11:00:07:2224| 0| COM83| R | CommandID     97| FA010401080D0A
2023-12-01 11:00:07.2980–TRACE–2023/12/01 11:00:07:2980| 0| COM83| S | CommandID     98| FA52030501
2023-12-01 11:00:07.3273–TRACE–2023/12/01 11:00:07:3273| 0| COM83| R | CommandID     98| FA030401440D0A
2023-12-01 11:00:07.4057–TRACE–2023/12/01 11:00:07:4057| 0| COM83| S | CommandID     99| FA52020501
2023-12-01 11:00:07.4213–TRACE–2023/12/01 11:00:07:4213| 0| COM83| R | CommandID     99| FA0204053C0D0A
2023-12-01 11:00:07.9073–TRACE–2023/12/01 11:00:07:9073| 0| COM83| S | CommandID    100| FA52010405
2023-12-01 11:00:07.9375–TRACE–2023/12/01 11:00:07:9375| 0| COM83| R | CommandID    100| FA01040E2F0D0A
2023-12-01 11:00:08.0196–TRACE–2023/12/01 11:00:08:0196| 0| COM83| S | CommandID    101| FA52020405
2023-12-01 11:00:08.0447–TRACE–2023/12/01 11:00:08:0447| 0| COM83| R | CommandID    101| FA020436360D0A
2023-12-01 11:00:08.1328–TRACE–2023/12/01 11:00:08:1327| 0| COM83| S | CommandID    102| FA52030405
2023-12-01 11:00:08.1611–TRACE–2023/12/01 11:00:08:1611| 0| COM83| R | CommandID    102| FA03043B4A0D0A
2023-12-01 11:00:08.2475–TRACE–2023/12/01 11:00:08:2475| 0| COM83| S | CommandID    103| FA52010501
2023-12-01 11:00:08.2648–TRACE–2023/12/01 11:00:08:2648| 0| COM83| R | CommandID    103| FA010401000D0A
2023-12-01 11:00:08.3625–TRACE–2023/12/01 11:00:08:3624| 0| COM83| S | CommandID    104| FA52030501
2023-12-01 11:00:08.3912–TRACE–2023/12/01 11:00:08:3912| 0| COM83| R | CommandID    104| FA030401040D0A
2023-12-01 11:00:08.4720–TRACE–2023/12/01 11:00:08:4719| 0| COM83| S | CommandID    105| FA52020501
2023-12-01 11:00:08.5030–TRACE–2023/12/01 11:00:08:5029| 0| COM83| R | CommandID    105| FA020401080D0A
2023-12-01 11:00:08.9816–TRACE–2023/12/01 11:00:08:9816| 0| COM83| S | CommandID    106| FA52010405
2023-12-01 11:00:08.9979–TRACE–2023/12/01 11:00:08:9979| 0| COM83| R | CommandID    106| FA0104222B0D0A
2023-12-01 11:00:09.0823–TRACE–2023/12/01 11:00:09:0823| 0| COM83| S | CommandID    107| FA52020405
2023-12-01 11:00:09.1109–TRACE–2023/12/01 11:00:09:1109| 0| COM83| R | CommandID    107| FA0204270A0D0A
2023-12-01 11:00:09.1891–TRACE–2023/12/01 11:00:09:1890| 0| COM83| S | CommandID    108| FA52030405
2023-12-01 11:00:09.2152–TRACE–2023/12/01 11:00:09:2152| 0| COM83| R | CommandID    108| FA030426480D0A
2023-12-01 11:00:09.2987–TRACE–2023/12/01 11:00:09:2986| 0| COM83| S | CommandID    109| FA52010501
2023-12-01 11:00:09.3269–TRACE–2023/12/01 11:00:09:3269| 0| COM83| R | CommandID    109| FA010401200D0A
2023-12-01 11:00:09.4024–TRACE–2023/12/01 11:00:09:4024| 0| COM83| S | CommandID    110| FA52030501
2023-12-01 11:00:09.4210–TRACE–2023/12/01 11:00:09:4210| 0| COM83| R | CommandID    110| FA030401540D0A
2023-12-01 11:00:09.5148–TRACE–2023/12/01 11:00:09:5148| 0| COM83| S | CommandID    111| FA52020501
2023-12-01 11:00:09.5287–TRACE–2023/12/01 11:00:09:5287| 0| COM83| R | CommandID    111| FA0204013C0D0A
2023-12-01 11:00:10.0277–TRACE–2023/12/01 11:00:10:0277| 0| COM83| S | CommandID    112| FA52010405
2023-12-01 11:00:10.0443–TRACE–2023/12/01 11:00:10:0443| 0| COM83| R | CommandID    112| FA010431310D0A
2023-12-01 11:00:10.1383–TRACE–2023/12/01 11:00:10:1383| 0| COM83| S | CommandID    113| FA52020405
2023-12-01 11:00:10.1755–TRACE–2023/12/01 11:00:10:1755| 0| COM83| R | CommandID    113| FA020436400D0A
2023-12-01 11:00:10.2492–TRACE–2023/12/01 11:00:10:2491| 0| COM83| S | CommandID    114| FA52030405
2023-12-01 11:00:10.2638–TRACE–2023/12/01 11:00:10:2637| 0| COM83| R | CommandID    114| FA03043B500D0A
2023-12-01 11:00:10.3588–TRACE–2023/12/01 11:00:10:3588| 0| COM83| S | CommandID    115| FA52010501
2023-12-01 11:00:10.3742–TRACE–2023/12/01 11:00:10:3742| 0| COM83| R | CommandID    115| FA010401580D0A
2023-12-01 11:00:10.4688–TRACE–2023/12/01 11:00:10:4688| 0| COM83| S | CommandID    116| FA52030501
2023-12-01 11:00:10.4985–TRACE–2023/12/01 11:00:10:4985| 0| COM83| R | CommandID    116| FA030401140D0A
2023-12-01 11:00:10.5763–TRACE–2023/12/01 11:00:10:5763| 0| COM83| S | CommandID    117| FA52020501
2023-12-01 11:00:10.5912–TRACE–2023/12/01 11:00:10:5911| 0| COM83| R | CommandID    117| FA0204013C0D0A
2023-12-01 11:00:11.0908–TRACE–2023/12/01 11:00:11:0907| 0| COM83| S | CommandID    118| FA52010405
2023-12-01 11:00:11.1066–TRACE–2023/12/01 11:00:11:1066| 0| COM83| R | CommandID    118| FA01043A110D0A
2023-12-01 11:00:11.2004–TRACE–2023/12/01 11:00:11:2003| 0| COM83| S | CommandID    119| FA52020405
2023-12-01 11:00:11.2180–TRACE–2023/12/01 11:00:11:2180| 0| COM83| R | CommandID    119| FA02042C210D0A
2023-12-01 11:00:11.3095–TRACE–2023/12/01 11:00:11:3095| 0| COM83| S | CommandID    120| FA52030405
2023-12-01 11:00:11.3265–TRACE–2023/12/01 11:00:11:3265| 0| COM83| R | CommandID    120| FA03042C140D0A
2023-12-01 11:00:11.4178–TRACE–2023/12/01 11:00:11:4178| 0| COM83| S | CommandID    121| FA52010501
2023-12-01 11:00:11.4355–TRACE–2023/12/01 11:00:11:4355| 0| COM83| R | CommandID    121| FA010401500D0A
2023-12-01 11:00:11.5297–TRACE–2023/12/01 11:00:11:5297| 0| COM83| S | CommandID    122| FA52030501
2023-12-01 11:00:11.5449–TRACE–2023/12/01 11:00:11:5448| 0| COM83| R | CommandID    122| FA030401280D0A
2023-12-01 11:00:11.6405–TRACE–2023/12/01 11:00:11:6405| 0| COM83| S | CommandID    123| FA52020501
2023-12-01 11:00:11.6707–TRACE–2023/12/01 11:00:11:6707| 0| COM83| R | CommandID    123| FA020401280D0A
2023-12-01 11:00:12.1539–TRACE–2023/12/01 11:00:12:1539| 0| COM83| S | CommandID    124| FA52010405
2023-12-01 11:00:12.1689–TRACE–2023/12/01 11:00:12:1689| 0| COM83| R | CommandID    124| FA010431410D0A
2023-12-01 11:00:12.2616–TRACE–2023/12/01 11:00:12:2616| 0| COM83| S | CommandID    125| FA52020405
2023-12-01 11:00:12.2803–TRACE–2023/12/01 11:00:12:2803| 0| COM83| R | CommandID    125| FA020415130D0A
2023-12-01 11:00:12.3728–TRACE–2023/12/01 11:00:12:3728| 0| COM83| S | CommandID    126| FA52030405
2023-12-01 11:00:12.4108–TRACE–2023/12/01 11:00:12:4108| 0| COM83| R | CommandID    126| FA03042C1D0D0A
2023-12-01 11:00:12.4824–TRACE–2023/12/01 11:00:12:4824| 0| COM83| S | CommandID    127| FA52010501
2023-12-01 11:00:12.4973–TRACE–2023/12/01 11:00:12:4973| 0| COM83| R | CommandID    127| FA0104011C0D0A
2023-12-01 11:00:12.5914–TRACE–2023/12/01 11:00:12:5914| 0| COM83| S | CommandID    128| FA52030501
2023-12-01 11:00:12.6069–TRACE–2023/12/01 11:00:12:6069| 0| COM83| R | CommandID    128| FA030401380D0A
2023-12-01 11:00:12.6998–TRACE–2023/12/01 11:00:12:6998| 0| COM83| S | CommandID    129| FA52020501
2023-12-01 11:00:12.7168–TRACE–2023/12/01 11:00:12:7167| 0| COM83| R | CommandID    129| FA020401580D0A
2023-12-01 11:00:13.2000–TRACE–2023/12/01 11:00:13:2000| 0| COM83| S | CommandID    130| FA52010405
2023-12-01 11:00:13.2379–TRACE–2023/12/01 11:00:13:2379| 0| COM83| R | CommandID    130| FA01040B3B0D0A
2023-12-01 11:00:13.3119–TRACE–2023/12/01 11:00:13:3119| 0| COM83| S | CommandID    131| FA52020405
2023-12-01 11:00:13.3486–TRACE–2023/12/01 11:00:13:3485| 0| COM83| R | CommandID    131| FA02042C250D0A
2023-12-01 11:00:13.4209–TRACE–2023/12/01 11:00:13:4208| 0| COM83| S | CommandID    132| FA52030405
2023-12-01 11:00:13.4534–TRACE–2023/12/01 11:00:13:4534| 0| COM83| R | CommandID    132| FA0304370B0D0A
2023-12-01 11:00:13.5319–TRACE–2023/12/01 11:00:13:5319| 0| COM83| S | CommandID    133| FA52010501
2023-12-01 11:00:13.5585–TRACE–2023/12/01 11:00:13:5585| 0| COM83| R | CommandID    133| FA0104014C0D0A
2023-12-01 11:00:13.6417–TRACE–2023/12/01 11:00:13:6417| 0| COM83| S | CommandID    134| FA52030501
2023-12-01 11:00:13.6696–TRACE–2023/12/01 11:00:13:6695| 0| COM83| R | CommandID    134| FA030401300D0A
2023-12-01 11:00:13.7494–TRACE–2023/12/01 11:00:13:7494| 0| COM83| S | CommandID    135| FA52020501
2023-12-01 11:00:13.7805–TRACE–2023/12/01 11:00:13:7805| 0| COM83| R | CommandID    135| FA020401540D0A
2023-12-01 11:00:14.2504–TRACE–2023/12/01 11:00:14:2503| 0| COM83| S | CommandID    136| FA52010405
2023-12-01 11:00:14.2848–TRACE–2023/12/01 11:00:14:2848| 0| COM83| R | CommandID    136| FA01043C460D0A
2023-12-01 11:00:14.3565–TRACE–2023/12/01 11:00:14:3565| 0| COM83| S | CommandID    137| FA52020405
2023-12-01 11:00:14.3739–TRACE–2023/12/01 11:00:14:3739| 0| COM83| R | CommandID    137| FA020410130D0A
2023-12-01 11:00:14.4674–TRACE–2023/12/01 11:00:14:4674| 0| COM83| S | CommandID    138| FA52030405
2023-12-01 11:00:14.4965–TRACE–2023/12/01 11:00:14:4965| 0| COM83| R | CommandID    138| FA03040F1A0D0A
2023-12-01 11:00:14.5805–TRACE–2023/12/01 11:00:14:5805| 0| COM83| S | CommandID    139| FA52010501
2023-12-01 11:00:14.6109–TRACE–2023/12/01 11:00:14:6109| 0| COM83| R | CommandID    139| FA0104012C0D0A
2023-12-01 11:00:14.6945–TRACE–2023/12/01 11:00:14:6945| 0| COM83| S | CommandID    140| FA52030501
2023-12-01 11:00:14.7199–TRACE–2023/12/01 11:00:14:7199| 0| COM83| R | CommandID    140| FA0304010C0D0A
2023-12-01 11:00:14.7953–TRACE–2023/12/01 11:00:14:7953| 0| COM83| S | CommandID    141| FA52020501
2023-12-01 11:00:14.8330–TRACE–2023/12/01 11:00:14:8330| 0| COM83| R | CommandID    141| FA0204014C0D0A
2023-12-01 11:01:25.9804–TRACE–2023/12/01 11:01:25:9771| 0| COM83| S | CommandID      0| FA57000201
2023-12-01 11:01:26.0115–TRACE–2023/12/01 11:01:26:0115| 0| COM83| R | CommandID      0| C30D0A
2023-12-01 11:01:27.9786–TRACE–2023/12/01 11:01:27:9786| 0| COM83| S | CommandID      1| FA52010002
2023-12-01 11:01:27.9944–TRACE–2023/12/01 11:01:27:9944| 0| COM83| R | CommandID      1| FA010403040D0A
2023-12-01 11:01:27.9944–TRACE–2023/12/01 11:01:27:9952| 0| COM83| S | CommandID      2| FA52020002
2023-12-01 11:01:28.0136–TRACE–2023/12/01 11:01:28:0135| 0| COM83| R | CommandID      2| FA020403040D0A
2023-12-01 11:01:28.0136–TRACE–2023/12/01 11:01:28:0147| 0| COM83| S | CommandID      3| FA52030002
2023-12-01 11:01:28.0270–TRACE–2023/12/01 11:01:28:0269| 0| COM83| R | CommandID      3| FA030403040D0A
2023-12-01 11:01:28.0270–TRACE–2023/12/01 11:01:28:0280| 0| COM83| S | CommandID      4| FA52010001
2023-12-01 11:01:28.0472–TRACE–2023/12/01 11:01:28:0472| 0| COM83| R | CommandID      4| FA010401020D0A
2023-12-01 11:01:28.0472–TRACE–2023/12/01 11:01:28:0482| 0| COM83| S | CommandID      5| FA52020001
2023-12-01 11:01:28.0785–TRACE–2023/12/01 11:01:28:0785| 0| COM83| R | CommandID      5| FA020401020D0A
2023-12-01 11:01:28.0785–TRACE–2023/12/01 11:01:28:0815| 0| COM83| S | CommandID      6| FA52030001
2023-12-01 11:01:28.1022–TRACE–2023/12/01 11:01:28:1022| 0| COM83| R | CommandID      6| FA030401020D0A
2023-12-01 11:01:28.1022–TRACE–2023/12/01 11:01:28:1031| 0| COM83| S | CommandID      7| FA52010401
2023-12-01 11:01:28.1181–TRACE–2023/12/01 11:01:28:1181| 0| COM83| R | CommandID      7| FA010A0101020304050607080D0A
2023-12-01 11:01:28.1181–TRACE–2023/12/01 11:01:28:1298| 0| COM83| S | CommandID      8| FA52020401
2023-12-01 11:01:28.1602–TRACE–2023/12/01 11:01:28:1602| 0| COM83| R | CommandID      8| FA020A0101020304050607080D0A
2023-12-01 11:01:28.1602–TRACE–2023/12/01 11:01:28:1610| 0| COM83| S | CommandID      9| FA52030401
2023-12-01 11:01:28.1878–TRACE–2023/12/01 11:01:28:1878| 0| COM83| R | CommandID      9| FA030A0101020304050607080D0A
2023-12-01 11:01:28.1878–TRACE–2023/12/01 11:01:28:1888| 0| COM83| S | CommandID     10| FA52010101
2023-12-01 11:01:28.2198–TRACE–2023/12/01 11:01:28:2198| 0| COM83| R | CommandID     10| FA0103640D0A
2023-12-01 11:01:28.2198–TRACE–2023/12/01 11:01:28:2208| 0| COM83| S | CommandID     11| FA52020101
2023-12-01 11:01:28.2450–TRACE–2023/12/01 11:01:28:2450| 0| COM83| R | CommandID     11| FA0203640D0A
2023-12-01 11:01:28.2450–TRACE–2023/12/01 11:01:28:2461| 0| COM83| S | CommandID     12| FA52030101
2023-12-01 11:01:28.2595–TRACE–2023/12/01 11:01:28:2595| 0| COM83| R | CommandID     12| FA0303640D0A
2023-12-01 11:01:28.2595–TRACE–2023/12/01 11:01:28:2607| 0| COM83| S | CommandID     13| FA52010402
2023-12-01 11:01:28.2764–TRACE–2023/12/01 11:01:28:2764| 0| COM83| R | CommandID     13| FA010400890D0A
2023-12-01 11:01:28.2764–TRACE–2023/12/01 11:01:28:2784| 0| COM83| S | CommandID     14| FA52020402
2023-12-01 11:01:28.2935–TRACE–2023/12/01 11:01:28:2935| 0| COM83| R | CommandID     14| FA020400870D0A
2023-12-01 11:01:28.2935–TRACE–2023/12/01 11:01:28:2947| 0| COM83| S | CommandID     15| FA52030402
2023-12-01 11:01:28.3082–TRACE–2023/12/01 11:01:28:3082| 0| COM83| R | CommandID     15| FA030400850D0A
2023-12-01 11:01:28.3082–TRACE–2023/12/01 11:01:28:3203| 0| COM83| S | CommandID     16| FA52010403
2023-12-01 11:01:28.3388–TRACE–2023/12/01 11:01:28:3388| 0| COM83| R | CommandID     16| FA01054155550D0A
2023-12-01 11:01:28.3388–TRACE–2023/12/01 11:01:28:3403| 0| COM83| S | CommandID     17| FA52020403
2023-12-01 11:01:28.3529–TRACE–2023/12/01 11:01:28:3529| 0| COM83| R | CommandID     17| FA02054155550D0A
2023-12-01 11:01:28.3529–TRACE–2023/12/01 11:01:28:3540| 0| COM83| S | CommandID     18| FA52030403
2023-12-01 11:01:28.3718–TRACE–2023/12/01 11:01:28:3718| 0| COM83| R | CommandID     18| FA03054355550D0A
2023-12-01 11:01:28.3718–TRACE–2023/12/01 11:01:28:3736| 0| COM83| S | CommandID     19| FA52010404
2023-12-01 11:01:28.4026–TRACE–2023/12/01 11:01:28:4026| 0| COM83| R | CommandID     19| FA01034B0D0A
2023-12-01 11:01:28.4026–TRACE–2023/12/01 11:01:28:4037| 0| COM83| S | CommandID     20| FA52020404
2023-12-01 11:01:28.4178–TRACE–2023/12/01 11:01:28:4178| 0| COM83| R | CommandID     20| FA02034B0D0A
2023-12-01 11:01:28.4178–TRACE–2023/12/01 11:01:28:4189| 0| COM83| S | CommandID     21| FA52030404
2023-12-01 11:01:28.4305–TRACE–2023/12/01 11:01:28:4305| 0| COM83| R | CommandID     21| FA03034B0D0A
2023-12-01 11:01:28.4305–TRACE–2023/12/01 11:01:28:4317| 0| COM83| S | CommandID     22| FA52010405
2023-12-01 11:01:28.4475–TRACE–2023/12/01 11:01:28:4475| 0| COM83| R | CommandID     22| FA010444320D0A
2023-12-01 11:01:28.5426–TRACE–2023/12/01 11:01:28:5426| 0| COM83| S | CommandID     23| FA52020405
2023-12-01 11:01:28.5576–TRACE–2023/12/01 11:01:28:5576| 0| COM83| R | CommandID     23| FA020440130D0A
2023-12-01 11:01:28.6524–TRACE–2023/12/01 11:01:28:6524| 0| COM83| S | CommandID     24| FA52030405
2023-12-01 11:01:28.6650–TRACE–2023/12/01 11:01:28:6650| 0| COM83| R | CommandID     24| FA03040B120D0A
2023-12-01 11:01:28.7653–TRACE–2023/12/01 11:01:28:7653| 0| COM83| S | CommandID     25| FA52010501
2023-12-01 11:01:28.7911–TRACE–2023/12/01 11:01:28:7911| 0| COM83| R | CommandID     25| FA010401100D0A
2023-12-01 11:01:28.8802–TRACE–2023/12/01 11:01:28:8802| 0| COM83| S | CommandID     26| FA52030501
2023-12-01 11:01:28.9069–TRACE–2023/12/01 11:01:28:9069| 0| COM83| R | CommandID     26| FA0304014C0D0A
2023-12-01 11:01:28.9954–TRACE–2023/12/01 11:01:28:9953| 0| COM83| S | CommandID     27| FA52020501
2023-12-01 11:01:29.0119–TRACE–2023/12/01 11:01:29:0119| 0| COM83| R | CommandID     27| FA0204014C0D0A
2023-12-01 11:01:29.5103–TRACE–2023/12/01 11:01:29:5102| 0| COM83| S | CommandID     28| FA52010405
2023-12-01 11:01:29.5259–TRACE–2023/12/01 11:01:29:5259| 0| COM83| R | CommandID     28| FA01043A280D0A
