

#,,,,Sample #1,,,,,,,,,,,,Sample #2,,,,,,,,,,,,,Sample #3,,,
#,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,
Time,Loop,Phase,Blockloop,#1 PowerMode,#1 InputVoltage,#1 Current(A/uA),#1 Current(uA),#1 Diagnostic,#1 Lightsensor,#1 Touch_finger,#1 Touch_XY,#1 Brightness(%),#1 T_chamber,"#1 T_LED1, 2PCB",#1 Diagnostic_raw,#2 PowerMode,#2 InputVoltage,#2 Current(A/uA),#2 Current(uA),#2 Diagnostic,#2 Lightsensor,#2 Touch_finger,#2 Touch_XY,#2 Brightness(%),#2 T_chamber,"#2 T_LED1, 2PCB",#2 Diagnostic_raw,#3 PowerMode,#3 InputVoltage,#3 Current(A/uA),#3 Current(uA),#3 Diagnostic,#3 Lightsensor,#3 Touch_finger,#3 Touch_XY,#3 Brightness(%),#3 T_chamber,"#3 T_LED1, 2PCB",#3 Diagnostic_raw
2023/12/29 11:12:35:5434,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:36:9938,0,A-1,0,,13.3,1.41,,,633,,,100,33,"0, 0, 54",,,13.2,1.51,,,775,,,100,33,"0, 0, 51",,,12.6,1.49,,,2292,,,100,33,"0, 0, 51",
2023/12/29 11:12:38:7168,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:40:1872,0,A-1,0,,13.3,1.38,,,634,,,100,33,"0, 0, 54",,,13.2,1.39,,,775,,,100,33,"0, 0, 51",,,12.6,1.36,,,2293,,,100,33,"0, 0, 51",
2023/12/29 11:12:41:8840,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:43:2423,0,A-1,0,,13.3,1.34,,,634,,,100,33,"0, 0, 54",,,13.2,1.57,,,774,,,100,33,"0, 0, 51",,,12.6,1.38,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:45:0395,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:46:2050,0,A-1,0,,13.3,1.37,,,633,,,100,33,"0, 0, 54",,,13.2,1.65,,,774,,,100,33,"0, 0, 51",,,12.6,1.36,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:48:1972,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:49:4172,0,A-1,0,,13.3,1.23,,,633,,,100,33,"0, 0, 54",,,13.2,1.5,,,775,,,100,33,"0, 0, 51",,,12.6,1.5,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:51:3685,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:52:3998,0,A-1,0,,13.3,1.36,,,634,,,100,33,"0, 0, 54",,,13.2,1.52,,,776,,,100,33,"0, 0, 51",,,12.6,1.41,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:54:5239,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:55:7477,0,A-1,0,,13.3,1.48,,,633,,,100,33,"0, 0, 54",,,13.2,1.34,,,776,,,100,33,"0, 0, 51",,,12.6,1.37,,,2292,,,100,33,"0, 0, 51",
2023/12/29 11:12:57:6670,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:58:9080,0,A-1,0,,13.3,1.25,,,633,,,100,33,"0, 0, 54",,,13.2,1.49,,,774,,,100,33,"0, 0, 51",,,12.6,1.23,,,2295,,,100,33,"0, 0, 51",
2023/12/29 11:13:00:8255,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:02:1740,0,A-1,0,,13.3,1.36,,,633,,,100,32,"0, 0, 54",,,13.2,1.57,,,776,,,100,32,"0, 0, 51",,,12.6,1.4,,,2294,,,100,32,"0, 0, 51",
2023/12/29 11:13:03:9887,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:05:2992,0,A-1,0,,13.3,1.37,,,633,,,100,32,"0, 0, 54",,,13.2,1.57,,,774,,,100,32,"0, 0, 51",,,12.6,1.36,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:07:1459,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:08:5226,0,A-1,0,,13.3,1.34,,,634,,,100,32,"0, 0, 54",,,13.2,1.4,,,776,,,100,32,"0, 0, 51",,,12.6,1.49,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:10:3113,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:11:7135,0,A-1,0,,13.3,1.39,,,634,,,100,32,"0, 0, 54",,,13.2,1.37,,,776,,,100,32,"0, 0, 51",,,12.6,1.37,,,2295,,,100,32,"0, 0, 51",
2023/12/29 11:13:13:4710,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:14:8640,0,A-1,0,,13.3,1.32,,,633,,,100,32,"0, 0, 54",,,13.2,1.41,,,774,,,100,33,"0, 0, 51",,,12.6,1.35,,,2294,,,100,32,"0, 0, 51",
2023/12/29 11:13:16:6644,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:18:0241,0,A-1,0,,13.3,1.36,,,633,,,100,32,"0, 0, 54",,,13.2,1.64,,,774,,,100,32,"0, 0, 51",,,12.6,1.48,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:19:8332,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:21:0041,0,A-1,0,,13.3,1.38,,,633,,,100,32,"0, 0, 54",,,13.2,1.55,,,774,,,100,32,"0, 0, 51",,,12.6,1.38,,,2296,,,100,32,"0, 0, 51",
2023/12/29 11:13:23:0089,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:24:2214,0,A-1,0,,13.3,1.25,,,634,,,100,32,"0, 0, 54",,,13.2,1.41,,,774,,,100,32,"0, 0, 51",,,12.6,1.38,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:26:1875,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:27:3635,0,A-1,0,,13.3,1.34,,,634,,,100,32,"0, 0, 54",,,13.2,1.39,,,775,,,100,32,"0, 0, 51",,,12.6,1.38,,,2296,,,100,32,"0, 0, 51",
2023/12/29 11:13:29:3444,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:30:5800,0,A-1,0,,13.3,1.35,,,633,,,100,32,"0, 0, 54",,,13.2,1.34,,,775,,,100,32,"0, 0, 51",,,12.6,1.38,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:32:5036,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:33:8058,0,A-1,0,,13.3,1.25,,,634,,,100,32,"0, 0, 54",,,13.2,1.49,,,774,,,100,32,"0, 0, 51",,,12.6,1.49,,,2294,,,100,32,"0, 0, 51",
2023/12/29 11:13:35:6584,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:36:9791,0,A-1,0,,13.3,1.33,,,635,,,100,32,"0, 0, 54",,,13.2,1.35,,,774,,,100,32,"0, 0, 51",,,12.6,1.39,,,2295,,,100,32,"0, 0, 51",
2023/12/29 11:13:38:8158,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:40:2348,0,A-1,0,,13.3,1.33,,,633,,,100,32,"0, 0, 54",,,13.2,1.41,,,774,,,100,32,"0, 0, 51",,,12.6,1.39,,,2294,,,100,32,"0, 0, 51",
2023/12/29 11:13:41:9827,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:43:3449,0,A-1,0,,13.3,1.38,,,634,,,100,32,"0, 0, 54",,,13.2,1.39,,,775,,,100,32,"0, 0, 51",,,12.6,1.36,,,2293,,,100,32,"0, 0, 51",
2023/12/29 11:13:45:1431,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:46:5164,0,A-1,0,,13.3,1.24,,,634,,,100,32,"0, 0, 54",,,13.2,1.5,,,774,,,100,32,"0, 0, 51",,,12.6,1.52,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:13:48:3004,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:49:7106,0,A-1,0,,13.3,1.24,,,633,,,100,33,"0, 0, 54",,,13.2,1.51,,,776,,,100,33,"0, 0, 51",,,12.6,1.4,,,2295,,,100,32,"0, 0, 51",
2023/12/29 11:13:51:4573,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:52:5285,0,A-1,0,,13.3,1.38,,,634,,,100,33,"0, 0, 54",,,13.2,1.41,,,777,,,100,33,"0, 0, 51",,,12.6,1.41,,,2296,,,100,33,"0, 0, 51",
2023/12/29 11:13:54:6344,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:55:7161,0,A-1,0,,13.3,1.4,,,634,,,100,33,"0, 0, 54",,,13.2,1.41,,,776,,,100,33,"0, 0, 51",,,12.6,1.41,,,2295,,,100,33,"0, 0, 51",
2023/12/29 11:13:57:7949,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:13:59:0915,0,A-1,0,,13.3,1.25,,,634,,,100,33,"0, 0, 54",,,13.2,1.4,,,775,,,100,32,"0, 0, 51",,,12.6,1.49,,,2296,,,100,33,"0, 0, 51",
2023/12/29 11:14:00:9690,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:14:02:2561,0,A-1,0,,13.3,1.23,,,635,,,100,32,"0, 0, 54",,,13.2,1.53,,,774,,,100,32,"0, 0, 51",,,12.6,1.51,,,2295,,,100,32,"0, 0, 51",
2023/12/29 11:14:04:1504,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:14:05:4330,0,A-1,0,,13.3,1.35,,,634,,,100,32,"0, 0, 54",,,13.2,1.4,,,776,,,100,32,"0, 0, 51",,,12.6,1.36,,,2295,,,100,32,"0, 0, 51",
2023/12/29 11:14:07:3201,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
