

#,,,,Sample #1,,,,,,,,,,,,Sample #2,,,,,,,,,,,,,Sample #3,,,
#,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,
Time,Loop,Phase,Blockloop,#1 PowerMode,#1 InputVoltage,#1 Current(A/uA),#1 Current(uA),#1 Diagnostic,#1 Lightsensor,#1 Touch_finger,#1 Touch_XY,#1 Brightness(%),#1 T_chamber,"#1 T_LED1, 2PCB",#1 Diagnostic_raw,#2 PowerMode,#2 InputVoltage,#2 Current(A/uA),#2 Current(uA),#2 Diagnostic,#2 Lightsensor,#2 Touch_finger,#2 Touch_XY,#2 Brightness(%),#2 T_chamber,"#2 T_LED1, 2PCB",#2 Diagnostic_raw,#3 PowerMode,#3 InputVoltage,#3 Current(A/uA),#3 Current(uA),#3 Diagnostic,#3 Lightsensor,#3 Touch_finger,#3 Touch_XY,#3 Brightness(%),#3 T_chamber,"#3 T_LED1, 2PCB",#3 Diagnostic_raw
2023/12/24 09:59:55:8446,0,A-1,0,,13.5,1.84,,1,5136,,,100,75,"65, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.04,,1,11587,,,100,75,"67, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.48,,1,9264,,,100,75,"67, 87, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:58:3321,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 09:59:59:0673,0,A-1,0,,13.5,1.6,,1,9246,,,100,75,"65, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.44,,1,19023,,,100,75,"67, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.48,,1,20502,,,100,75,"69, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:01:4000,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:02:1068,0,A-1,0,,13.5,1.2,,1,18461,,,100,75,"67, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.48,,1,12574,,,100,75,"67, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.96,,1,16177,,,100,75,"65, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:04:4651,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:05:1853,0,A-1,0,,13.7,5.12,,1,11563,,,100,75,"67, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.48,,1,6410,,,100,75,"67, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.08,,1,19272,,,100,75,"67, 87, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:07:5309,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:08:2719,0,A-1,0,,13.3,1.4,,1,10826,,,100,75,"65, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1,,1,5155,,,100,75,"89, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.76,,1,3613,,,0,75,"65, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:10:5920,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:11:2458,0,A-1,0,,13.5,1.92,,1,17451,,,100,75,"67, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.04,,1,7946,,,100,75,"67, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.4,,1,7208,,,100,75,"67, 87, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:13:6373,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:14:0732,0,A-1,0,,13.5,1.64,,1,6416,,,100,75,"67, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.12,,1,15640,,,100,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.68,,1,4407,,,100,75,"65, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:16:6818,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:17:0766,0,A-1,0,,13.5,1.24,,1,2592,,,100,75,"67, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.72,,1,11307,,,0,75,"65, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.48,,1,6948,,,100,75,"65, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:19:7530,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:20:1995,0,A-1,0,,13.5,1.44,,1,13372,,,100,75,"69, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.92,,1,16692,,,100,75,"65, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.96,,1,18208,,,0,75,"69, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:22:8051,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:23:3139,0,A-1,0,,13.5,1.72,,1,20506,,,100,75,"67, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.92,,1,9550,,,100,95,"69, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.92,,1,14150,,,100,75,"67, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:25:8713,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:26:4560,0,A-1,0,,13.3,1.08,,1,5408,,,100,75,"65, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.44,,1,3089,,,0,75,"67, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.52,,1,9032,,,100,75,"67, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:28:9385,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:29:5901,0,A-1,0,,13.7,1.56,,1,18239,,,100,75,"69, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.56,,1,7446,,,100,75,"67, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.88,,1,17712,,,100,75,"69, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:32:0019,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:32:6542,0,A-1,0,,13.7,1.12,,1,18477,,,100,75,"87, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.56,,1,4402,,,100,75,"65, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.44,,1,12104,,,100,75,"65, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 10:00:34:8790,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:40:0155,0,A-2,0,Sleep,,,0.03,,,,,,,,,Sleep,,,0.03,,,,,,,,,Sleep,,0.08,,,,,,,,,
2023/12/24 10:00:42:9736,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:43:0842,0,A-2,0,,,,0.02,,,,,,,,,,,,0.05,,,,,,,,,,,0.01,,,,,,,,,
2023/12/24 10:00:46:0406,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:46:1600,0,A-2,0,,,,0.09,,,,,,,,,,,,0.05,,,,,,,,,,,0.06,,,,,,,,,
2023/12/24 10:00:49:1039,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:49:2188,0,A-2,0,,,,0.01,,,,,,,,,,,,0.31,,,,,,,,,,,0.1,,,,,,,,,
2023/12/24 10:00:52:1655,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:52:2693,0,A-2,0,,,,0.03,,,,,,,,,,,,0.1,,,,,,,,,,,0.08,,,,,,,,,
2023/12/24 10:00:55:2295,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:55:3283,0,A-2,0,,,,0.11,,,,,,,,,,,,0.11,,,,,,,,,,,0.11,,,,,,,,,
2023/12/24 10:00:58:2905,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:00:58:3942,0,A-2,0,,,,0.1,,,,,,,,,,,,0.05,,,,,,,,,,,0.05,,,,,,,,,
2023/12/24 10:01:01:3535,0,A-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 10:01:01:4552,0,A-2,0,,,,0.03,,,,,,,,,,,,0.1,,,,,,,,,,,0.03,,,,,,,,,
